ID,Name,Description,Creator,Contributor,Citation,Source,DOI,Version
aaleykusunda,aaleykusunda,"CLDF dataset derived from Aaley and Bodt's ""New Kusunda data: A list of 250 concepts"" from 2020",Uday Raj Aaley AND Timotheus A. Bodt,Johann-Mattis List,"Uday Raj Aaley and Timotheus A. Bodt (2020): New Kusunda data: A list of 250 concepts. Computer-Assisted Language Comparison in Practice 3.4 (08/04/2020), URL: https://calc.hypotheses.org/2414.",aaleykusunda,10.5281/zenodo.13149034,v2.1
abrahammonpa,abrahammonpa,"CLDF dataset derived from Abraham et al.'s ""Sociolinguistic Research on Monpa"" from 2018",Binny Abraham AND Kara Sako AND Elina Kinny AND Isapdaile Zeliang,Johann-Mattis List,"Abraham, Binny, Kara Sako, Elina Kinny, and Isapdaile Zeliang (2018):  Sociolinguistic Research among Selected Groups in Western Arunachal Pradesh: Highlighting Monpa. Dallas: SIL International.",abrahammonpa,10.5281/zenodo.13149071,v3.1
abvdoceanic,abvdoceanic,"CLDF dataset derived from Greenhill et al.'s ""Austronesian Basic Vocabulary Database"" from 2020 focusing on Oceanic languages",Simon J. Greenhill AND Mary Walworth AND Isaac Stead AND Tihomir Rangelov,Johann-Mattis List AND Frederic Blum,"Greenhill, S.J., Blust. R, &amp; Gray, R.D. (2008). The Austronesian Basic Vocabulary Database: From Bioinformatics to Lexomics. Evolutionary Bioinformatics, 4:271-283.",abvdoceanic,10.5281/zenodo.13149095,v0.3
abvdphilippines,abvdphilippines,"CLDF dataset derived from Greenhill et al.'s ""Austronesian Basic Vocabulary Database"" from 2020 focusing on Philippine languages",Simon J. Greenhill AND Robert Blust AND Russell D. Gray AND Benedict King AND Lawrence A. Reid AND Malcolm Ross AND Mary Walworth,Simon J. Greenhill AND Frederic Blum,"Greenhill, S.J., Blust. R, &amp; Gray, R.D. (2008). The Austronesian Basic Vocabulary Database: From Bioinformatics to Lexomics. Evolutionary Bioinformatics, 4:271-283.",abvdphilippines,10.5281/zenodo.13304336,v1.0
allenbai,allenbai,"CLDF dataset derived from Allen's ""Bai Dialect Survey"" from 2007",Bryan Allen,Johann-Mattis List,"Allen, Bryan (2007): Bai Dialect Survey. Dallas: SIL International.",allenbai,10.5281/zenodo.13149106,v4.1
backstromnorthernpakistan,backstromnorthernpakistan,"CLDF dataset derived from Backstrom and Radloff's ""Sociolinguistic Survey of Northern Pakistan"" from 1992","Backstrom, Peter C. AND Radloff, Carla F.",Christoph Rzymski AND Johann-Mattis List,"Backstrom, Peter C. and Radloff, Carla F. (1992): Sociolinguistic Survey of Northern Pakistan, Volume 2. Languages of Northern Areas. Islamabad: National Institute of Pakistan Studies.",backstromnorthernpakistan,10.5281/zenodo.13149113,v1.1
baf2,baf2,"CLDF dataset underlying the study ""First steps towards the detection of contact layers in Bangime: a multi-disciplinary, computer-assisted approach"" from 2022",Abbie Hantgan AND Hiba Babiker AND Johann-Mattis List,Johann-Mattis List,"Hantgan, Abbie and Babiker, Hiba and List, Johann-Mattis (2022): First steps towards the detection of contact layers in Bangime: a multi-disciplinary, computer-assisted approach [version 2; peer review: 2 approved]. Open Research Europe 2022, 2:10.",baf2,10.5281/zenodo.14001726,v1.2
bantubvd,bantubvd,"CLDF dataset derived from Greenhill and Gray’s ""Bantu Basic Vocabulary Database"" from 2015",Simon J. Greenhill AND Russell Gray,Christoph Rzymski AND Johann-Mattis List,"Simon Greenhill and Russell Gray, 2015. Bantu Basic Vocabulary Database",bantubvd,10.5281/zenodo.13143126,v4.1
barlowlote,barlowlote,"CLDF dataset derived from Barlow's ""Lote Wordlist"" from 2023",Russell Barlow,,"Barlow, Russell. 2024. Lote wordlist: Based on elicitation sessions with Leo Lang from Uvol village, recorded in Kokopo, East New Britain, November 2022. https://doi.org/10.5281/zenodo.14505729.",barlowlote,10.5281/zenodo.14505730,v1.0
beidasinitic,beidasinitic,"CLDF dataset derived from Beijing University's ""Chinese Dialect Vocabularies"" from 1964",Beijing University,Johann-Mattis List,Běijīng Dàxué 北京大学 (1964): Hànyǔ fāngyán cíhuì 汉语方言词汇 [Chinese dialect vocabularies]. Beijing: Wenzi Gaige.,beidasinitic,10.5281/zenodo.13149151,v5.1
