ID	GLOSS	FREQUENCY
1376	NOW	840
1243	WIDE	837
1730	CHEEK	836
1422	BE ALIVE	834
1937	THERE	833
1414	SQUEEZE	832
1856	SOFT	830
1970	CANOE	830
762	OUTSIDE	829
1539	BASKET	825
1906	SOUR	824
1240	NOT	824
1423	FIGHT	823
1413	PLAY	820
1360	DUCK	815
1803	WOOD	814
1357	DAUGHTER	812
1502	GOAT	811
1102	CLIMB	809
705	GO UP (ASCEND)	809
2099	CHILD	809
1511	ROOSTER	809
1437	SPLIT	809
1007	COW	808
701	SLOW	807
813	DO	804
1784	WANT	804
1706	ELEVEN	800
1052	LIGHT (WEIGHT)	796
1389	TOE	795
1347	NAPE (OF NECK)	794
2486	HIDE	792
1318	CHICKEN	791
1573	SWELL	790
984	WORK (LABOUR)	788
1325	FRIEND	787
1786	DRY UP	786
1741	ABOVE	782
907	OLD WOMAN	782
146	SUGAR CANE	781
1496	GRANDMOTHER	776
1538	SCORPION	776
2159	GROUND	775
819	STOMACH	775
592	PISS	775
1028	YAWN	773
749	ENTER	768
913	CROW	765
1707	TWELVE	763
176	BLOW (WITH MOUTH)	761
1382	NEEDLE (FOR SEWING)	760
1733	RAINBOW	760
1381	SHOE	759
675	FAECES (EXCREMENT)	758
640	MUD	757
262	HE OR SHE OR IT	753
1142	URINE	753
2648	HAIR (HEAD)	752
980	HEEL	752
1207	YOUNG	751
1427	BEAUTIFUL	751
230	SWEEP	749
581	COME BACK	749
2003	FLOW	747
1927	BAMBOO	742
1588	TURN	741
284	HOE	735
1449	RUB	735
138	BATHE	733
1760	YOUNGER BROTHER	733
586	GARDEN	733
1850	COTTON	732
998	PUT	732
1690	FENCE	730
1188	CHARCOAL	728
197	OTHER	726
319	LICK	723
195	MAT	723
1533	BE HUNGRY	722
1633	FLAT	721
1487	POUR	720
1387	ARRIVE	719
680	BREAK (DESTROY OR GET DESTROYED)	719
1130	WE (EXCLUSIVE)	719
1219	WORM	719
619	ANIMAL	717
504	LEARN	714
868	BANANA	709
1983	SNORE	709
1651	TEAR (OF EYE)	709
1269	NO	709
1475	COMB	707
1183	PALM OF HAND	706
1309	ASK (INQUIRE)	704
1624	EMPTY	703
1761	YOUNGER SISTER	701
1290	ELEPHANT	700
837	BLUE	696
72	CLAW	691
1331	SHEEP	690
1686	BEHIND	690
1008	BULL	690
694	GET	689
1391	TOWN	687
738	THING	686
704	CLEAN	684
1593	DEEP	683
1234	SMOOTH	683
1161	THREAD	679
1944	GOD	679
2108	RAINING OR RAIN	674
2615	FLESH OR MEAT	672
1378	SPOON	668
406	OLD MAN	668
1674	POOR	667
245	BROOM	665
1173	EYEBROW	664
735	OWL	664
1599	WORD	664
797	TESTICLES	663
1959	RAW	662
1495	HAPPY	661
712	RICH	660
321	CHEW	659
1882	BEFORE	656
707	REMEMBER	654
112	TURTLE	652
2308	THIN	651
923	LOVE	650
66	KNEEL	650
489	KIDNEY	649
1892	TOUCH	647
882	PARROT	647
1989	CALF	646
709	TEACH	644
1508	KING	644
1608	LISTEN	643
1531	BRANCH	639
1750	CHOOSE	638
1369	GOLD	635
2101	BE DEAD OR DIE	635
1091	SALTY	633
792	BOIL (OF LIQUID)	633
1547	SOUP	631
1566	GUN	630
1564	LAZY	629
1462	POT	629
204	AGAIN	626
1503	SALIVA	626
809	TROUSERS	625
1119	DIVIDE	625
2638	FISHING	624
1577	AND	623
2112	OLD (AGED)	622
641	MUSHROOM	618
1363	VOICE	618
1735	TEAR (SHRED)	618
676	SHIT (DEFECATE)	617
2014	GO DOWN (DESCEND)	616
539	NEST	616
1766	FINISH	615
1518	STUPID	615
1857	CROCODILE	614
1486	PLANT (SOMETHING)	613
1653	BLIND	613
1616	CLOTH	612
1883	IN FRONT OF	612
1011	BRIDGE	610
1781	THUMB	609
2098	FOOT OR LEG	608
1265	HIGH	607
133	WEAVE	606
855	SEIZE	606
1179	DAY AFTER TOMORROW	603
1559	MONEY	602
1924	VEIN	601
632	LIZARD	601
1844	BOAT	599
232	FLEA	598
1517	WASP	597
501	LIFT	596
1514	HEN	596
1974	CENTIPEDE	596
667	ROAD	594
1936	DEER	592
1877	EAST	592
1601	WEAK	592
963	BOOK	590
2259	FLESH	590
1757	TIRED	588
1913	PRESS	587
1033	GRIND	586
1275	ANSWER	585
1386	LION	585
987	REMAIN	585
225	PESTLE	584
2105	FEMALE PERSON	583
602	HIDE (CONCEAL)	582
1817	WEST	582
715	SHOUT	581
1415	THINK (REFLECT)	578
770	EARRING	578
996	DEAF	578
1180	DAY BEFORE YESTERDAY	577
301	CHIEFTAIN	577
1155	CAVE	576
1831	MEET	575
1782	GUEST	574
816	HALF	574
1897	HELP	570
933	WALL (OF HOUSE)	567
607	GRASSHOPPER	567
52	SHIVER	566
798	JAW	566
363	DWELL (LIVE, RESIDE)	565
1752	LEAVE	565
723	PLACE (POSITION)	564
1046	SHUT	564
1535	SWORD	562
784	SNOW	561
42	STINKING	561
1153	CATTLE	560
158	PUT ON	560
410	YAM	560
761	COVER	555
1428	BURNING	554
633	MARKET	554
1548	UGLY	554
1459	IF	553
1263	SISTER	552
721	LOW	549
7	GATHER	549
371	PICK UP	548
2692	MATERNAL UNCLE (MOTHER'S BROTHER)	548
1595	SOUTH	548
597	PHYSICIAN	548
1828	ASK (REQUEST)	547
1840	BUILD	547
1773	GRAVE	546
1127	SEND	545
1543	SNAIL	545
1094	FASTEN	545
1598	NORTH	545
803	ANKLE	544
