URL	STATUS	CONCEPTS	CONCEPTLIST
https://github.com/lessersunda/lexirumah-data.git	public	608	
https://github.com/lexibank/abrahammonpa.git	public	306	https://concepticon.clld.org/contributions/Abraham-2018-307
https://github.com/lexibank/allenbai.git	public	499	https://concepticon.clld.org/contributions/Allen-2007-500
https://github.com/lexibank/backstromnorthernpakistan.git	private	1233	https://concepticon.clld.org/contributions/Backstrom-1992-210a, https://concepticon.clld.org/contributions/Backstrom-1992-210b, https://concepticon.clld.org/contributions/Backstrom-1992-210c, https://concepticon.clld.org/contributions/Backstrom-1992-210d, https://concepticon.clld.org/contributions/Backstrom-1992-210e, https://concepticon.clld.org/contributions/Backstrom-1992-210f
https://github.com/lexibank/baf2.git	private	348	
https://github.com/lexibank/bantubvd.git	public	430	https://concepticon.clld.org/contributions/TeilDautrey-2008-430
https://github.com/lexibank/beidasinitic.git	public	905	https://concepticon.clld.org/contributions/BeijingDaxue-1964-905
https://github.com/lexibank/bodtkhobwa.git	public	664	https://concepticon.clld.org/contributions/Bodt-2019-664
https://github.com/lexibank/bowernpny.git	public	344	https://concepticon.clld.org/contributions/Bowern-2017-348
https://github.com/lexibank/bowerntasmanian.git	public	629	https://concepticon.clld.org/contributions/Bowern-2012-644
https://github.com/lexibank/castrosui.git	public	592	https://concepticon.clld.org/contributions/Castro-2015-608
https://github.com/lexibank/castroyi.git	public	540	https://concepticon.clld.org/contributions/Castro-2010-540
https://github.com/lexibank/castrozhuang.git	public	510	https://concepticon.clld.org/contributions/Castro-2010-511
https://github.com/lexibank/chenhmongmien.git	public	883	https://concepticon.clld.org/contributions/Chen-2012-888
https://github.com/lexibank/chindialectsurvey.git	public	460	https://concepticon.clld.org/contributions/LSDO-2019-462
https://github.com/lexibank/clarkkimmun.git	private	757	https://concepticon.clld.org/contributions/Clark-2008-503, https://concepticon.clld.org/contributions/Clark-2008-441
https://github.com/lexibank/csd.git	public	1193	
https://github.com/lexibank/diacl.git	public	539	https://concepticon.clld.org/contributions/Carling-2017-104a, https://concepticon.clld.org/contributions/Carling-2017-209b, https://concepticon.clld.org/contributions/Carling-2017-240c, https://concepticon.clld.org/contributions/Carling-2017-97d, https://concepticon.clld.org/contributions/Carling-2017-112e, https://concepticon.clld.org/contributions/Carling-2017-87f, https://concepticon.clld.org/contributions/Carling-2017-127g, https://concepticon.clld.org/contributions/Carling-2017-10h, https://concepticon.clld.org/contributions/Carling-2017-97i, https://concepticon.clld.org/contributions/Carling-2017-97j, https://concepticon.clld.org/contributions/Carling-2017-97k
https://github.com/lexibank/halenepal.git	public	997	https://concepticon.clld.org/contributions/Hale-1973-1798
https://github.com/lexibank/historicaltukanoan.git	private	2381	
https://github.com/lexibank/hsiuhmongmien.git	private	315	https://concepticon.clld.org/contributions/Hsiu-2015-315
https://github.com/lexibank/huangst.git	private	1818	https://concepticon.clld.org/contributions/Huang-1992-1820
https://github.com/lexibank/hubercolumbian.git	public	366	https://concepticon.clld.org/contributions/Huber-1992-375
https://github.com/lexibank/huntergatherer.git	public	745	https://concepticon.clld.org/contributions/Bowern-2011-204
https://github.com/intercontinental-dictionary-series/ids.git	public	1310	https://concepticon.clld.org/contributions/Key-2016-1310
https://github.com/lexibank/johanssonsoundsymbolic.git	private	344	https://concepticon.clld.org/contributions/Johansson-2020-344
https://github.com/lexibank/kraftchadic.git	public	433	https://concepticon.clld.org/contributions/Kraft-1981-434
https://github.com/lexibank/lamayi.git	private	301	https://concepticon.clld.org/contributions/Lama-2012-301
https://github.com/lexibank/logos.git	public	707	https://concepticon.clld.org/contributions/List-2014-1280
https://github.com/lexibank/luangthongkumkaren.git	private	341	
https://github.com/lexibank/lundgrenomagoa.git	public	1807	https://concepticon.clld.org/contributions/Lundgren-2020-275
https://github.com/lexibank/mannburmish.git	public	391	https://concepticon.clld.org/contributions/Mann-1998-406
https://github.com/lexibank/marrisonnaga.git	public	626	https://concepticon.clld.org/contributions/Marrison-1967-917
https://github.com/lexibank/mitterhoferbena.git	public	355	https://concepticon.clld.org/contributions/Mitterhofer-2013-355
https://github.com/lexibank/mortensentangkhulic.git	private	846	
https://github.com/lexibank/naganorgyalrongic.git	public	1256	https://concepticon.clld.org/contributions/Nagano-2013-1256
https://github.com/lexibank/northeuralex.git	public	1016	https://concepticon.clld.org/contributions/Dellert-2017-1016
https://github.com/lexibank/othanieljen.git	public	300	https://concepticon.clld.org/contributions/Othaniel-2017-300
https://github.com/lexibank/polyglottaafricana.git	public	335	
https://github.com/lexibank/ratliffhmongmien.git	private	715	
https://github.com/lexibank/robinsonap.git	public	398	https://concepticon.clld.org/contributions/Robinson-2012-398
https://github.com/lexibank/satterthwaitetb.git	public	423	https://concepticon.clld.org/contributions/SatterthwaitePhillips-2011-423
https://github.com/lexibank/sohartmannchin.git	public	280	https://concepticon.clld.org/contributions/SoHartmann-1988-280
https://github.com/lexibank/suntb.git	public	1004	https://concepticon.clld.org/contributions/Sun-1991-1004
https://github.com/lexibank/tls.git	public	1581	
https://github.com/lexibank/tolmiebritishcolumbia.git	public	210	https://concepticon.clld.org/contributions/Tolmie-1884-211
https://github.com/lexibank/tppsr.git	public	480	https://concepticon.clld.org/contributions/Gauchat-1925-480
https://github.com/lexibank/transnewguineaorg.git	public	1210	
https://github.com/lexibank/tryonsolomon.git	public	323	https://concepticon.clld.org/contributions/Tryon-1983-324
https://github.com/lexibank/uralex.git	public	313	
https://github.com/lexibank/vanbikkukichin.git	private	1170	
https://github.com/lexibank/walworthpolynesian.git	public	210	https://concepticon.clld.org/contributions/Blust-2008-210
https://github.com/lexibank/wangbai.git	private	458	https://concepticon.clld.org/contributions/Wang-2004-471
https://github.com/lexibank/wold.git	public	1814	https://concepticon.clld.org/contributions/Haspelmath-2009-1460
https://github.com/lexibank/yanglalo.git	public	1000	https://concepticon.clld.org/contributions/Yang-2011-1014
https://github.com/lexibank/zgraggenmadang.git	public	333	https://concepticon.clld.org/contributions/Zgraggen-1980-380
https://github.com/lingpy/language-island-paper.git	public	300	
https://github.com/SequenceComparison/listsamplesize.git	public	550	https://concepticon.clld.org/contributions/Key-2016-1310
