ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Glottolog_Name,Family,Concept_Count,Form_Count,Contribution_ID,Family_Name
1,Dutch,Eurasia,52.5,6,dutc1256,nld,Dutch,indo1319,1478,1478,wold,Indo-European
2,Romanian,Eurasia,46,25,roma1327,ron,Romanian,indo1319,2143,2143,wold,Indo-European
3,Vietnamese,Eurasia,10.5,106.5,viet1252,vie,Vietnamese,aust1305,1438,1438,wold,Austroasiatic
4,Japanese,Eurasia,37,140,nucl1643,jpn,Japanese,japo1237,2016,2016,wold,Japonic
5,Mandarin Chinese,Eurasia,34,110,mand1415,cmn,Mandarin Chinese,sino1245,2016,2016,wold,Sino-Tibetan
6,Hawaiian,Papunesia,19.5833,-155.5,hawa1245,haw,Hawaiian,aust1307,1406,1406,wold,Austronesian
7,Lower Sorbian,Eurasia,51.75,14.3333,lowe1385,dsb,Lower Sorbian,indo1319,1627,1627,wold,Indo-European
8,Otomi,North America,20.1667,-98.8333,mezq1235,ote,Mezquital Otomi,otom1299,2397,2397,wold,Otomanguean
9,Seychelles Creole,Africa,-4.75,55.5,sese1246,crs,Seselwa Creole French,indo1319,1986,1986,wold,Indo-European
10,Thai,Eurasia,16,101,thai1261,tha,Thai,taik1256,1978,1978,wold,Tai-Kadai
11,Modern Greek,Eurasia,38.36,23.13,mode1248,ell,Modern Greek,indo1319,1749,1749,idssegmented,Indo-European
12,Spanish,Eurasia,40.4414,-1.11788,stan1288,spa,Spanish,indo1319,1799,1799,keypano,Indo-European
13,Portuguese,Eurasia,39.91,-8.1,port1283,por,Portuguese,indo1319,1708,1708,keypano,Indo-European
14,Yiddish,Eurasia,51.75,19.42,east2295,ydd,Eastern Yiddish,indo1319,1812,1812,idssegmented,Indo-European
15,Shan (Northern Shan dialect),Eurasia,21.5995,98.0342,shan1277,shn,Shan,taik1256,1935,1935,idssegmented,Tai-Kadai
16,Tai Khün,Eurasia,19.6062,99.3363,khun1259,kkh,Khün,taik1256,1581,1581,idssegmented,Tai-Kadai
17,Estonian,Eurasia,58.55,25.82,esto1258,ekk,Estonian,ural1272,1714,1714,idssegmented,Uralic
18,Finnish,Eurasia,64.7628,25.5577,finn1318,fin,Finnish,ural1272,1754,1754,idssegmented,Uralic
19,Ingush,Eurasia,43.11,45.03,ingu1240,inh,Ingush,nakh1245,1536,1536,idssegmented,Nakh-Daghestanian
20,Azerbaijani,Eurasia,40.97768,46.4737,nort2697,azj,North Azerbaijani,turk1311,1788,1788,idssegmented,Turkic
21,Hungarian,Eurasia,46.9068585714,19.6555271429,hung1274,hun,Hungarian,ural1272,1738,1738,idssegmented,Uralic
22,Mari,Eurasia,55.8307,48.405,east2328,mhr,Eastern Mari,ural1272,1582,1582,idssegmented,Uralic
23,Southern Tai (Songkhla variety),Eurasia,6.85668,99.7031,sout2746,sou,Southern Thai,taik1256,1407,1407,idssegmented,Tai-Kadai
24,Shan,Eurasia,21.5995,98.0342,shan1277,shn,Shan,taik1256,1489,1489,idssegmented,Tai-Kadai
25,Mandarin Chinese,Eurasia,40.0209,116.228,mand1415,cmn,Mandarin Chinese,sino1245,1435,1435,yuchinese,Sino-Tibetan
26,Lezgian,Eurasia,41.5157,47.8951,lezg1247,lez,Lezgian,nakh1245,1873,1873,idssegmented,Nakh-Daghestanian
27,Chechen,Eurasia,43.5,45.5,chec1245,che,Chechen,nakh1245,1725,1725,idssegmented,Nakh-Daghestanian
28,Chechen (Akkin dialect),Eurasia,43.5,45.5,chec1245,che,Chechen,nakh1245,1431,1431,idssegmented,Nakh-Daghestanian
29,English,Eurasia,52,0,stan1293,eng,English,indo1319,1420,1420,wold,Indo-European
30,Dargwa (Khajdak dialect),Eurasia,42.052428,47.776611,kajt1238,xdq,Kajtak,nakh1245,1513,1513,idssegmented,Nakh-Daghestanian
31,Kumyk,Eurasia,43.0,47.0,kumy1244,kum,Kumyk,turk1311,1836,1836,idssegmented,Turkic
32,Azerbaijani (Terekeme dialect),Eurasia,40.97768,46.4737,nort2697,azj,North Azerbaijani,turk1311,1490,1490,idssegmented,Turkic
33,Central Thai,Eurasia,14.192,100.671,thai1261,tha,Thai,taik1256,1786,1786,idssegmented,Tai-Kadai
34,Kumyk (Ter Bragun dialect),Eurasia,43.0,47.0,kumy1244,kum,Kumyk,turk1311,1660,1660,idssegmented,Turkic
35,Yaqui,North America,27.5,-110.25,yaqu1251,yaq,Yaqui,utoa1244,1527,1527,wold,Uto-Aztecan
36,Komi,Eurasia,64.0527,54.946,komi1268,kpv,Komi-Zyrian,ural1272,1796,1796,idssegmented,Uralic
37,Bulgarian,Eurasia,43.3646,25.047,bulg1262,bul,Bulgarian,indo1319,2375,2375,idssegmented,Indo-European
38,Dargwa (Mugi dialect),Eurasia,42.4257,47.4388,darg1241,dar,North-Central Dargwa,nakh1245,1455,1455,idssegmented,Nakh-Daghestanian
39,Hausa,Africa,12,7,haus1257,hau,Hausa,afro1255,1584,1584,wold,Afro-Asiatic
40,Serbo-Croatian,Eurasia,44.15,18.81,sout1528,hbs,Serbian-Croatian-Bosnian,indo1319,2158,2158,idssegmented,Indo-European
41,Khamuang (Chiang Mai variety),Eurasia,18.857495,100.20739,nort2740,nod,Northern Thai,taik1256,1332,1332,idssegmented,Tai-Kadai
42,Dargwa,Eurasia,42.4257,47.4388,darg1241,dar,North-Central Dargwa,nakh1245,1792,1792,idssegmented,Nakh-Daghestanian
43,Tabasaran (Northern dialect Khanag subdialect),Eurasia,42.0198,47.8379,taba1259,tab,Tabasaran,nakh1245,1720,1720,idssegmented,Nakh-Daghestanian
44,Nogai,Eurasia,44.89776,43.1656,noga1249,nog,Nogai,turk1311,2077,2077,idssegmented,Turkic
45,Avar (East Gergebil dialect),Eurasia,41.7047,46.558,avar1256,ava,Avar,nakh1245,1788,1788,idssegmented,Nakh-Daghestanian
46,Dargwa (Usisha dialect),Eurasia,42.4257,47.4388,darg1241,dar,North-Central Dargwa,nakh1245,1401,1401,idssegmented,Nakh-Daghestanian
47,Swahili,Africa,-6.5,39,swah1253,swh,Swahili,atla1278,1731,1731,wold,Atlantic-Congo
48,Avar (Kusur dialect),Eurasia,41.7047,46.558,avar1256,ava,Avar,nakh1245,1428,1428,idssegmented,Nakh-Daghestanian
49,Armenian (Eastern variety),Eurasia,40.0,45.0,nucl1235,hye,Eastern Armenian,indo1319,1897,1897,idssegmented,Indo-European
50,Armenian (Western variety),Eurasia,40.1897,44.4839,homs1234,hyw,Western Armenian,indo1319,1867,1867,idssegmented,Indo-European
51,Tsova-Tush,Eurasia,42.1806,45.344,bats1242,bbl,Bats,nakh1245,1648,1648,idssegmented,Nakh-Daghestanian
52,Avar,Eurasia,41.7047,46.558,avar1256,ava,Avar,nakh1245,1563,1563,idssegmented,Nakh-Daghestanian
53,Udmurt,Eurasia,56.12921,52.63548,udmu1245,udm,Udmurt,ural1272,1555,1555,idssegmented,Uralic
54,Botlikh (Miarso dialect),Eurasia,42.665,46.22,botl1242,bph,Botlikh,nakh1245,1551,1551,idssegmented,Nakh-Daghestanian
55,Dargwa (Gapshima Shukti dialect),Eurasia,42.4257,47.4388,darg1241,dar,North-Central Dargwa,nakh1245,1565,1565,idssegmented,Nakh-Daghestanian
56,Dargwa (Sirkhi dialect),Eurasia,42.4257,47.4388,darg1241,dar,North-Central Dargwa,nakh1245,1417,1417,idssegmented,Nakh-Daghestanian
57,Kumyk (Kajtak Tumenler dialect),Eurasia,43.0,47.0,kumy1244,kum,Kumyk,turk1311,1512,1512,idssegmented,Turkic
58,Avar (Ansalta dialect),Eurasia,41.7047,46.558,avar1256,ava,Avar,nakh1245,1889,1889,idssegmented,Nakh-Daghestanian
59,Dargwa (Gapshima dialect),Eurasia,42.4257,47.4388,darg1241,dar,North-Central Dargwa,nakh1245,1575,1575,idssegmented,Nakh-Daghestanian
60,Kumyk (Kajtak dialect),Eurasia,43.0,47.0,kumy1244,kum,Kumyk,turk1311,1445,1445,idssegmented,Turkic
61,Judeo-Tat,Eurasia,42.068306,48.264749,jude1256,jdt,Judeo-Tat,indo1319,2253,2253,idssegmented,Indo-European
62,Kumyk (Dorgeli dialect),Eurasia,43.0,47.0,kumy1244,kum,Kumyk,turk1311,1649,1649,idssegmented,Turkic
63,Kumyk (Karabudakhkent dialect),Eurasia,43.0,47.0,kumy1244,kum,Kumyk,turk1311,1752,1752,idssegmented,Turkic
64,Akhvakh (Southern dialect),Eurasia,42.4003,46.3037,akhv1239,akv,Northern Akhvakh,nakh1245,1566,1566,idssegmented,Nakh-Daghestanian
65,Guaraní,South America,-25.60551,-57.08816,para1311,gug,Paraguayan Guaraní,tupi1275,1970,1970,idssegmented,Tupian
66,Dargwa (Mekegi dialect),Eurasia,42.4257,47.4388,darg1241,dar,North-Central Dargwa,nakh1245,1457,1457,idssegmented,Nakh-Daghestanian
67,Lak (Arakul dialect),Eurasia,42.1328,47.0809,lakk1252,lbe,Lak,nakh1245,1368,1368,idssegmented,Nakh-Daghestanian
68,Lak (Shali dialect),Eurasia,42.1328,47.0809,lakk1252,lbe,Lak,nakh1245,1579,1579,idssegmented,Nakh-Daghestanian
69,Karata (Tokitin dialect),Eurasia,42.5727,46.3724,toki1238,,Tokita,nakh1245,1553,1553,idssegmented,Nakh-Daghestanian
70,Rutul,Eurasia,41.6187,47.3244,rutu1240,rut,Rutul,nakh1245,1555,1555,idssegmented,Nakh-Daghestanian
71,Bezhta,Eurasia,42.1206,46.0332,bezh1248,kap,Bezhta,nakh1245,1755,1755,idssegmented,Nakh-Daghestanian
72,Dargwa (Kadar dialect),Eurasia,42.4257,47.4388,darg1241,dar,North-Central Dargwa,nakh1245,1489,1489,idssegmented,Nakh-Daghestanian
73,Dargwa (Megeb dialect),Eurasia,42.4257,47.4388,darg1241,dar,North-Central Dargwa,nakh1245,1655,1655,idssegmented,Nakh-Daghestanian
74,Karata,Eurasia,42.6501,46.3151,kara1474,kpt,Karata-Tukita,nakh1245,1507,1507,idssegmented,Nakh-Daghestanian
75,Dargwa (Gubden dialect),Eurasia,42.4257,47.4388,darg1241,dar,North-Central Dargwa,nakh1245,1478,1478,idssegmented,Nakh-Daghestanian
76,Malagasy,Africa,-20,47,plat1254,plt,Plateau Malagasy,aust1307,1593,1593,wold,Austronesian
77,Andi,Eurasia,42.8078,46.2919,andi1255,ani,Andi,nakh1245,1576,1576,idssegmented,Nakh-Daghestanian
78,Botlikh,Eurasia,42.665,46.22,botl1242,bph,Botlikh,nakh1245,1453,1453,idssegmented,Nakh-Daghestanian
79,Chamalal,Eurasia,42.5024,45.995,cham1309,cji,Chamalal,nakh1245,1725,1725,idssegmented,Nakh-Daghestanian
80,Lezgi (Mikrakh dialect),Eurasia,41.5157,47.8951,lezg1247,lez,Lezgian,nakh1245,1470,1470,idssegmented,Nakh-Daghestanian
81,Tsez (Mokok dialect),Eurasia,42.2646,45.8096,dido1241,ddo,Tsez,nakh1245,1547,1547,idssegmented,Nakh-Daghestanian
82,Dargwa (Muiri dialect),Eurasia,42.4257,47.4388,darg1241,dar,North-Central Dargwa,nakh1245,1564,1564,idssegmented,Nakh-Daghestanian
83,Lak (Balkhar dialect),Eurasia,42.1328,47.0809,lakk1252,lbe,Lak,nakh1245,1432,1432,idssegmented,Nakh-Daghestanian
84,Bagvalal,Eurasia,42.3966,46.1041,bagv1239,kva,Bagvalal,nakh1245,1574,1574,idssegmented,Nakh-Daghestanian
85,Hunzib,Eurasia,42.0808,46.1369,hunz1247,huz,Hunzib,nakh1245,1554,1554,idssegmented,Nakh-Daghestanian
86,Khwarshi (Kwantlada dialect),Eurasia,42.2743,45.9977,khva1239,khv,Khwarshi-Inkhoqwari,nakh1245,1795,1795,idssegmented,Nakh-Daghestanian
87,Thai (Korat variety),Eurasia,6.85668,99.7031,sout2746,sou,Southern Thai,taik1256,1387,1387,idssegmented,Tai-Kadai
88,Dehong,Eurasia,21.7837,99.722,tain1252,tdd,Tai Nüa,taik1256,1577,1577,idssegmented,Tai-Kadai
89,Rutul (Borchino Khnow dialect),Eurasia,41.6187,47.3244,rutu1240,rut,Rutul,nakh1245,1419,1419,idssegmented,Nakh-Daghestanian
90,Hinuq,Eurasia,42.4502,45.8064,hinu1240,gin,Hinuq,nakh1245,1780,1780,idssegmented,Nakh-Daghestanian
91,Akhvakh (Northern dialect),Eurasia,42.4003,46.3037,akhv1239,akv,Northern Akhvakh,nakh1245,1653,1653,idssegmented,Nakh-Daghestanian
92,Dargwa (Chirag dialect),Eurasia,41.869481,47.41111,chir1284,,Chirag,nakh1245,1367,1367,idssegmented,Nakh-Daghestanian
93,Tindi,Eurasia,42.3316,45.9227,tind1238,tin,Tindi,nakh1245,1610,1610,idssegmented,Nakh-Daghestanian
94,Tsakhur (Gelmets dialect),Eurasia,41.5916,46.8858,tsak1249,tkr,Tsakhur,nakh1245,1397,1397,idssegmented,Nakh-Daghestanian
95,Godoberi,Eurasia,42.7428,46.2252,ghod1238,gdo,Godoberi,nakh1245,1535,1535,idssegmented,Nakh-Daghestanian
96,Tsakhur,Eurasia,41.5916,46.8858,tsak1249,tkr,Tsakhur,nakh1245,1466,1466,idssegmented,Nakh-Daghestanian
97,Archi (variety 1),Eurasia,42.3239,46.8267,arch1244,aqc,Archi,nakh1245,1389,1389,idssegmented,Nakh-Daghestanian
98,Aghul (Koshan dialect),Eurasia,41.85,47.65,kosh1245,,Qushan Aghul,nakh1245,1421,1421,idssegmented,Nakh-Daghestanian
99,Q'eqchi',North America,16,-89.8333,kekc1242,kek,Q'eqchi',maya1287,1898,1898,wold,Mayan
100,Lak,Eurasia,42.1328,47.0809,lakk1252,lbe,Lak,nakh1245,1529,1529,idssegmented,Nakh-Daghestanian
101,Dargwa (Kubachi dialect),Eurasia,42.08504,47.601843,kuba1248,ugh,Kubachi,nakh1245,1389,1389,idssegmented,Nakh-Daghestanian
102,Archi (variety 2),Eurasia,42.3239,46.8267,arch1244,aqc,Archi,nakh1245,1445,1445,idssegmented,Nakh-Daghestanian
103,Kildin Saami,Eurasia,67,37,kild1236,sjd,Kildin Saami,ural1272,1383,1383,wold,Uralic
104,Hausa,Africa,11.1513,8.7804,haus1257,hau,Hausa,afro1255,1728,1728,idssegmented,Afro-Asiatic
105,Maltese,Eurasia,35.8884,14.4508,malt1254,mlt,Maltese,afro1255,1719,1719,spagnolmaltese,Afro-Asiatic
106,Khinalug,Eurasia,41.1801,48.0571,khin1240,kjj,Khinalug,nakh1245,1660,1660,idssegmented,Nakh-Daghestanian
107,Erzya Mordvin,Eurasia,52.8548,45.3901,erzy1239,myv,Erzya,ural1272,1393,1393,idssegmented,Uralic
108,Aghul,Eurasia,41.9242,47.5843,aghu1253,agx,Aghul,nakh1245,1407,1407,idssegmented,Nakh-Daghestanian
109,Jamaican Creole (Limonese Creole dialect),North America,18.13,-77.2612,jama1262,jam,Jamaican Creole English,indo1319,1704,1704,idssegmented,Indo-European
110,Budukh,Eurasia,41.2272,48.3353,budu1248,bdk,Budukh,nakh1245,1746,1746,idssegmented,Nakh-Daghestanian
111,Avar (Araderikh dialect),Eurasia,41.7047,46.558,avar1256,ava,Avar,nakh1245,1552,1552,idssegmented,Nakh-Daghestanian
112,Wa,Eurasia,23.1024,99.108,nucl1290,wbm,Zhenkang Wa,aust1305,1379,1379,idssegmented,Austroasiatic
113,Kanuri,Africa,12,13,cent2050,knc,Central Kanuri,saha1256,1513,1513,wold,Saharan
114,Romani,Eurasia,46.09,18.16,vlax1238,rmy,Vlax Romani,indo1319,1751,1751,idssegmented,Indo-European
115,Southern Kam,Eurasia,25.8874,109.222,sout2741,kmc,Southern Dong,taik1256,1425,1425,idssegmented,Tai-Kadai
116,Pusing,Eurasia,21.3474,101.916,bitt1240,bgk,Bit,aust1305,1361,1361,idssegmented,Austroasiatic
117,Breton,Eurasia,48.2452,-3.78934,bret1244,bre,Breton,indo1319,1812,1812,idssegmented,Indo-European
118,Albanian (Tosk variety),Eurasia,41.0,20.0,tosk1239,als,Northern Tosk Albanian,indo1319,2004,2004,idssegmented,Indo-European
119,Mang Ch,Eurasia,21.4305,102.133,mang1378,zng,Mang,aust1305,1358,1358,idssegmented,Austroasiatic
120,Ancient Greek,Eurasia,39.8155,21.9129,anci1242,grc,Ionic-Attic Ancient Greek,indo1319,2279,2279,idssegmented,Indo-European
121,Northern Saami,Eurasia,68.725,22.1113,nort2671,sme,North Saami,ural1272,1406,1406,idssegmented,Uralic
122,Chatino (Zacatepec variety),North America,16.08,-97.3069,zaca1242,ctz,Zacatepec Chatino,otom1299,1609,1609,idssegmented,Otomanguean
123,Lakkia,Eurasia,24.1169,110.106,lakk1238,lbc,Lakkia,taik1256,1436,1436,idssegmented,Tai-Kadai
124,Nung-Fengshan,Eurasia,24.3,106.2,guib1244,zgn,Guibian Zhuang,taik1256,1470,1470,idssegmented,Tai-Kadai
125,Tai Lü,Eurasia,21.0321,101.282,luuu1242,khb,Lü,taik1256,1393,1393,idssegmented,Tai-Kadai
126,Nung-Lazhai,Eurasia,24.3,106.2,guib1244,zgn,Guibian Zhuang,taik1256,1699,1699,idssegmented,Tai-Kadai
127,Bulang-3,Eurasia,22.0092,99.7405,blan1242,blr,Blang,aust1305,1276,1276,idssegmented,Austroasiatic
128,Udi,Eurasia,40.9,47.7236,udii1243,udi,Udi,nakh1245,1359,1359,idssegmented,Nakh-Daghestanian
129,Cayapa,South America,0.71489,-79.0508,chac1249,cbi,Cha'palaa,barb1265,1645,1645,idssegmented,Barbacoan
130,Imbabura Quechua,South America,0.333333,-78,imba1240,qvi,Imbabura Highland Quichua,quec1387,1236,1236,wold,Quechuan
131,Jinsha Dai,Eurasia,26.7238,106.682,nort1545,huj,Northern Guiyang Hmong,hmon1336,1320,1320,idssegmented,Hmong-Mien
132,White Hmong,Eurasia,26,105,hmon1333,mww,Hmong Daw,hmon1336,1415,1415,wold,Hmong-Mien
133,Basque,Eurasia,43.2787,-1.31622,basq1248,eus,Basque,basq1248,1550,1550,idssegmented,Basque
134,Tarifiyt Berber,Africa,34.5,-4,tari1263,rif,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,afro1255,1593,1593,wold,Afro-Asiatic
135,Old High German,Eurasia,50.55,9.68333,oldh1241,goh,Old High German (ca. 750-1050),indo1319,1227,1227,wold,Indo-European
136,Sakha,Eurasia,62,130,yaku1245,sah,Sakha,turk1311,1517,1517,wold,Turkic
137,Kryz,Eurasia,41.1811,48.1846,kryt1240,kry,Kryz,nakh1245,1496,1496,idssegmented,Nakh-Daghestanian
138,Bulang-2,Eurasia,22.0092,99.7405,blan1242,blr,Blang,aust1305,1337,1337,idssegmented,Austroasiatic
139,Takia,Papunesia,-4.66667,146,taki1248,tbc,Takia,aust1307,1257,1257,wold,Austronesian
140,Selice Romani,Eurasia,48.091,17.9609,west2376,,West Slovakian Romani,indo1319,1529,1529,wold,Indo-European
141,Rotuman,Papunesia,-12.5008,177.066,rotu1241,rtm,Rotuman,aust1307,1378,1378,idssegmented,Austronesian
142,Waorani,South America,-1.12312,-76.683,waor1240,auc,Waorani,waor1240,1248,1248,idssegmented,Waorani
143,Ancient Aramaic,Eurasia,32.84,37.0,olda1245,oar,Old Aramaic-Sam'alian,afro1255,1961,1961,idssegmented,Afro-Asiatic
144,Chadong,Eurasia,25.23532,109.96041,chad1240,cdy,Chadong,taik1256,1284,1284,idssegmented,Tai-Kadai
145,Bezhta,Eurasia,42.0833,46.1667,bezh1248,kap,Bezhta,nakh1245,1397,1397,wold,Nakh-Daghestanian
146,Archi,Eurasia,42,46.8333,arch1244,aqc,Archi,nakh1245,1211,1211,wold,Nakh-Daghestanian
147,Kme-2 (Kemie variety),Eurasia,22.0743,100.842,manm1238,mml,Man Met,aust1305,1227,1227,idssegmented,Austroasiatic
148,Zhuang-Longzhou,Eurasia,22.4,106.9,zuoj1238,zzj,Zuojiang Zhuang,taik1256,1724,1724,idssegmented,Tai-Kadai
149,Yagua,South America,-3.42913,-72.2186,yagu1244,yad,Yagua,peba1241,1826,1826,keypano,Peba-Yagua
150,Nivaclé,South America,-22.8557,-61.7606,niva1238,cag,Nivaclé,mata1289,1582,1582,idssegmented,Matacoan
151,Wichí,South America,-22.5,-62.5833,wich1264,mzh,Güisnay,mata1289,1294,1294,wold,Matacoan
152,Samre,Eurasia,12.243,103.139,somr1240,smu,Somray of Battambang-Somre of Siem Reap,aust1305,1267,1267,idssegmented,Austroasiatic
153,Sanapaná (Enlhet dialect),South America,-22.49,-58.38,sana1298,spn,Sanapaná,leng1261,1795,1795,idssegmented,Lengua-Mascoy
154,Mapudungun,South America,-38.7392,-71.277,mapu1245,arn,Mapudungun,arau1255,1413,1413,idssegmented,Araucanian
155,Persian,Eurasia,32.9,53.3,west2369,pes,Western Farsi,indo1319,1667,1667,idssegmented,Indo-European
156,Sui,Eurasia,24.0488,106.563,suii1243,swi,Sui,taik1256,1556,1556,idssegmented,Tai-Kadai
157,Chong,Eurasia,12.5218,102.514,chon1284,cog,Chong of Chanthaburi,aust1305,1232,1232,idssegmented,Austroasiatic
158,Mansi,Eurasia,64.4118,61.344,mans1258,mns,Northern Mansi,ural1272,1488,1488,idssegmented,Uralic
159,Aguaruna,South America,-5.30044,-77.9218,agua1253,agr,Aguaruna,jiva1245,1279,1279,keypano,Chicham
160,Nung-Ninbei,Eurasia,20.8965,104.286,nung1283,nut,Nung (Viet Nam),taik1256,1312,1312,idssegmented,Tai-Kadai
161,Wichí,South America,-23.1633,-62.1757,wich1264,mzh,Güisnay,mata1289,1188,1188,idssegmented,Matacoan
162,Toba,South America,-23.77,-61.96,toba1269,tob,Toba,guai1249,1386,1386,idssegmented,Guaicuruan
163,Phong,Eurasia,19.9622,104.088,phon1246,pnx,Phong-Kniang,aust1305,1202,1202,idssegmented,Austroasiatic
164,Pear,Eurasia,13.593,105.028,pear1247,pcb,Pear,aust1305,1237,1237,idssegmented,Austroasiatic
165,Hlai (Baoting variety),Eurasia,18.8062,109.459,hlai1239,lic,Hlai,taik1256,1308,1308,idssegmented,Tai-Kadai
166,Uncunwee,Africa,11.6432,29.8122,ghul1238,ghl,Uncunwee,nubi1251,1781,1781,idssegmented,Nubian
167,Khanty,Eurasia,62.4308,66.1218,khan1273,kca,Kazym-Berezover-Suryskarer Khanty,ural1272,1437,1437,idssegmented,Uralic
168,Bulang,Eurasia,22.0092,99.7405,blan1242,blr,Blang,aust1305,1166,1166,idssegmented,Austroasiatic
169,Pilagá,South America,-25.0058,-60.1537,pila1245,plg,Pilagá,guai1249,1234,1234,idssegmented,Guaicuruan
170,Ende (Papua New Guinea),Papunesia,-8.957786,142.240799,ende1235,,Ende (Papua New Guinea),paho1240,1147,1147,lindseyende,Pahoturi
171,Yaminahua,South America,-9.8846,-71.5964,yami1256,yaa,Yaminahua,pano1259,1375,1375,keypano,Pano-Tacanan
172,Iraqw,Africa,-4,35.5,iraq1241,irk,Iraqw,afro1255,1210,1210,wold,Afro-Asiatic
173,Páez,South America,2.61516,-76.31254,paez1247,pbb,Páez,paez1247,1228,1228,idssegmented,Páez
174,Mocoví,South America,-28.097,-60.4145,moco1246,moc,Mocoví,guai1249,1220,1220,idssegmented,Guaicuruan
175,Prai,Eurasia,19.0383,101.218,phai1238,prt,Prai,aust1305,1602,1602,idssegmented,Austroasiatic
176,Tongan,Papunesia,-21.17,-175.25,tong1325,ton,Tonga (Tonga Islands),aust1307,1791,1791,idssegmented,Austronesian
177,Kha Poong,Eurasia,18.25,105.0,khap1242,,Kha Phong,aust1305,1370,1370,idssegmented,Austroasiatic
178,Saramaccan,South America,4.5,-55.5,sara1340,srm,Saramaccan,indo1319,1254,1254,wold,Indo-European
179,Chiriguano,South America,-20.42,-63.37,east2555,gui,Eastern Bolivian Guaraní,tupi1275,1445,1445,idssegmented,Tupian
180,Yaruro,South America,7.10677,-67.5996,pume1238,yae,Pumé,pume1238,1166,1166,idssegmented,Pumé
181,Kali'na,South America,5.5,-56,gali1262,car,Galibi Carib,cari1283,1227,1227,wold,Cariban
182,Cofán,South America,0.276675,-77.0643,cofa1242,con,Cofán,cofa1242,1497,1497,idssegmented,Cofán
183,Polci,Africa,10.1346,9.5961,polc1243,pze,Pesse,afro1255,1189,1189,idssegmented,Afro-Asiatic
184,Wayampi,South America,1.73817,-52.6887,waya1270,oym,Wayampi,tupi1275,1284,1284,idssegmented,Tupian
185,Ayoreo,South America,-19.220055,-60.217495,ayor1240,ayo,Ayoreo,zamu1243,1442,1442,idssegmented,Zamucoan
186,Wapishana,South America,2.58744,-59.8021,wapi1253,wap,Wapishana,araw1281,1187,1187,idssegmented,Arawakan
187,Maonan,Eurasia,25.0169,108.024,maon1241,mmd,Maonan,taik1256,1208,1208,idssegmented,Tai-Kadai
188,Ket,Eurasia,64,87,kett1243,ket,Ket,yeni1252,1225,1225,wold,Yeniseian
189,Nenets,Eurasia,66.1775,71.0234,nene1249,yrk,Tundra Nenets,ural1272,1332,1332,idssegmented,Uralic
190,Lengua,South America,-22.6559,-58.9053,leng1262,,Lengua,leng1261,1125,1125,idssegmented,Lengua-Mascoy
191,Kasong,Eurasia,11.936,104.136,suoy1242,syo,Suoy,aust1305,1143,1143,idssegmented,Austroasiatic
192,Langja Buyang,Eurasia,23.604572,106.030277,emab1235,yzg,E'ma Buyang,taik1256,1182,1182,idssegmented,Tai-Kadai
193,Qau Kelao,Eurasia,26.155438,106.16455,qaua1234,gqu,Central Gelao-Qau,taik1256,1145,1145,idssegmented,Tai-Kadai
194,Mapudungun,South America,-38,-72,mapu1245,arn,Mapudungun,arau1255,1335,1335,wold,Araucanian
195,Nyakur,Eurasia,15.8909,101.515,nyah1250,cbn,Nyahkur,aust1305,1187,1187,idssegmented,Austroasiatic
196,Maori,Papunesia,-38.2881,176.541,maor1246,mri,Maori,aust1307,2239,2239,idssegmented,Austronesian
197,Chorote,South America,-22.1896,-63.2383,iyoj1235,crt,Riverine Chorote,mata1289,1533,1533,idssegmented,Matacoan
198,Keme (Kemie variety),Eurasia,22.0743,100.842,manm1238,mml,Man Met,aust1305,1107,1107,idssegmented,Austroasiatic
199,Mulam,Eurasia,24.8151,108.928,mula1253,mlm,Mulam,taik1256,1172,1172,idssegmented,Tai-Kadai
200,Rapa Nui,Papunesia,-27.113,-109.342,rapa1244,rap,Rapanui,aust1307,1345,1345,idssegmented,Austronesian
201,Gawwada,Africa,5.5,37.25,gaww1239,gwd,Ale-Gawwada,afro1255,1116,1116,wold,Afro-Asiatic
202,Hawaiian,Papunesia,19.6297,-155.43,hawa1245,haw,Hawaiian,aust1307,2632,2632,idssegmented,Austronesian
203,Catuquina,South America,-7.97456,-71.56151,pano1254,knt,Panoan Katukína,pano1259,1165,1165,keypano,Pano-Tacanan
204,Oroqen,Eurasia,51.2829,126.111,oroq1238,orh,Oroqen,tung1282,1184,1184,wold,Tungusic
205,Seri,North America,28.9877,-112.384,seri1257,sei,Seri,seri1257,1318,1318,idssegmented,Seri
206,Movima,South America,-13.8115,-65.6348,movi1243,mzp,Movima,movi1243,1066,1066,keypano,Movima
207,Hup,South America,0.166667,-69.25,hupd1244,jup,Hup,nada1235,1151,1151,wold,Naduhup
208,Ecun Buyang,Eurasia,23.550258,106.016896,lang1316,yln,Langnian Buyang,taik1256,1142,1142,idssegmented,Tai-Kadai
209,Mosetén,South America,-14.64448,-67.83756,mose1249,cas,Mosetén-Chimané,mose1249,1191,1191,keypano,Mosetén-Chimané
210,Puinave,South America,3.92974,-67.6886,puin1248,pui,Puinave,puin1248,1168,1168,idssegmented,Puinave
211,Manange,Eurasia,28,84.25,mana1288,nmm,Manange,sino1245,1094,1094,wold,Sino-Tibetan
212,Tuyuca,South America,0.39441,-70.043515,tuyu1244,tue,Tuyuca,tuca1253,1093,1093,idssegmented,Tucanoan
