ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Glottolog_Name,Family,Concept_Count,Form_Count,Contribution_ID,Family_Name
1028,Mbaelelea,Papunesia,-8.41627,160.721,bael1237,bvc,Baelelea,aust1307,338,338,tryonsolomon,Austronesian
1029,Mbaengguu,Papunesia,-8.49014,160.771,baeg1237,bvd,Baeggu,aust1307,352,352,tryonsolomon,Austronesian
1030,Mono,Papunesia,-7.05102,155.76,mono1273,mte,Mono-Alu,aust1307,353,353,tryonsolomon,Austronesian
1031,Sengga,Papunesia,-7.0,156.83,sisi1250,,Sisiqa,aust1307,355,355,tryonsolomon,Austronesian
1032,Sikaiana,Papunesia,-8.378194,162.72952,sika1261,sky,Sikaiana,aust1307,362,362,tryonsolomon,Austronesian
1033,Simbo,Papunesia,-8.26947,156.541,simb1256,sbb,Simbo,aust1307,334,334,tryonsolomon,Austronesian
1034,To'ambaita,Papunesia,-8.39233,160.619,toab1237,mlu,To'abaita,aust1307,355,355,tryonsolomon,Austronesian
1035,Vaghua,Papunesia,-6.68712,156.542,vagh1249,tva,Vaghua,aust1307,362,362,tryonsolomon,Austronesian
1036,Nanga,Africa,14.8193833,-3.01043333,nang1261,nzz,Nanga,dogo1299,321,321,baf2,Dogon
1037,Gupapuyngu,Australia,-12.2868,135.337,gupa1247,guf,Gupapuyngu,pama1250,319,319,bowernpny,Pama-Nyungan
1038,Parnkala,Australia,-33.3036,136.079,bang1339,bjb,Banggarla,pama1250,319,319,bowernpny,Pama-Nyungan
1039,Curripaco,South America,0.69618,-67.5028,curr1243,kpc,Curripaco,araw1281,322,322,hubercolumbian,Arawakan
1040,Tanimuca,South America,-0.59023,-70.3853,tani1257,tnc,Tanimuca-Retuarã,tuca1253,356,356,hubercolumbian,Tucanoan
1041,Wanano,South America,1.07554,-69.5705,guan1269,gvc,Kotiria,tuca1253,353,353,hubercolumbian,Tucanoan
1042,Cavineña,South America,-13.3544,-66.6277,cavi1250,cav,Cavineña,pano1259,318,318,huntergatherer,Pano-Tacanan
1043,Kariña,South America,5.83772,-56.8323,gali1262,car,Galibi Carib,cari1283,322,322,huntergatherer,Cariban
1044,Buma,Papunesia,-11.6752,166.868,tean1237,tkw,Teanu,aust1307,361,361,tryonsolomon,Austronesian
1045,Kusaghe,Papunesia,-8.04056,157.463,kusa1251,ksg,Kusaghe-Njela,aust1307,325,325,tryonsolomon,Austronesian
1046,Mbirao,Papunesia,-9.73716,160.52,bira1254,brr,Birao,aust1307,367,367,tryonsolomon,Austronesian
1047,Ndovele,Papunesia,-7.92388,156.663,bilu1245,blb,Bilua,bilu1245,333,333,tryonsolomon,Bilua
1048,Samasodu,Papunesia,-8.00509,158.961,lagh1246,lgb,Laghu,aust1307,376,376,tryonsolomon,Austronesian
1049,Bangime,Africa,14.7984833,-3.76015,bang1363,dba,Bangime,bang1363,319,319,baf2,Isolate
1050,Nyamal,Australia,-21.6092,119.693,nyam1271,nly,Nyamal,pama1250,318,318,bowernpny,Pama-Nyungan
1051,Catío,South America,7.52721,-76.7476,embe1260,cto,Emberá-Catío,choc1280,361,361,hubercolumbian,Chocoan
